Name,PS1 Obs 1 Date,Date Row Last Modified,Aliases,Host Galaxy,SN RA,Dec (2000),Host RA,Host Dec (2000),"Host Galaxy Mag
(approx.)",Redshift position,Redshift origin,Heliocentric Redshift,Uncertainty,Original Reported Redshift,"Redshift 
Difference","Max light
(in Found_fits.fitres)",Good Spec @max?,Spectra Taken (dates),Kyle has SN spec?,Kyle has host spec?,Useful Link,Link to Spectroscopic Report,Notes,
SN2017nw,1/28/17,8/25/17,"ATLAS17ali, PS17atr",Anonymous,16:12.6,+02:48:29.1,16:12.6, 02:48:28.64,,Host Nucleus,Keck spectra,0.0769603,0.00007,0.077,0.0000397,,,1/26/17,yes,yes,https://wis-tns.weizmann.ac.il/object/2017nw,http://www.astronomerstelegram.org/?read=10010,Not on official list,
PS17tn,1/28/17,8/25/17,ATLAS17amu (?),2MASX J09431321+4118581,43:13.6,+41:19:02.2,43:13.6,+41:19:02.2,,Host Nucleus,SDSS DR13,0.044704,0.000011,0.044704,0,,,,no,no,,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3424298&objname=2MASX%20J09431321%2B4118581&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
PS17yt,1/27/17,8/25/17,,2MASX J10035883+4902195,03:58.0,+49:02:28.3,03:58.0,+49:02:28.3,,Host Nucleus,SDSS DR13,0.069763,0.000021,0.069763,0,,,,no,no,,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=6770498&objname=2MASX%20J10035883%2B4902195&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2017ns,1/26/17,8/25/17,"ATLAS17alb, PS17agl, Gaia17akz",2MASS J02491020+1436036,49:10.4,+14:36:02.48,49:10.2,+14:36:03.21,,Host Lines from SN position,"H-alpha line, AFOSC",0.028766,0.000397,0.0279,0.000866,,,1/24/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017ns,http://www.astronomerstelegram.org/?read=9996,Not on official list,
SN2017lc,1/26/17,8/25/17,Gaia17aea,Anonymous,44:25.7,-18:32:54.02,N/A,N/A,,SN Lines,SNID,0.06,0.002,0.05,0.01,,,1/23/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017lc,http://www.astronomerstelegram.org/?read=9990,Not on official list,
SN2017ms,1/25/17,8/25/17,PTSS-17dfc,SDSS J102641.99+364053.2,26:42.4,+36:40:50.62,26:42.0,+36:40:53.2,,Host Nucleus,SDSS DR13,0.0244826,0.0000085,0.0246,0.0001174,,,1/23/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017ms,http://dr13.sdss.org/optical/spectrum/view?plateid=1957&mjd=53415&fiberid=580&run2d=26,Not on official list,
SN2017mf,1/24/17,8/25/17,,NGC5541,16:31.0,+39:35:12.02,16:31.8,+39:35:20.59,,Host Nucleus,SDSS DR13,0.025612,0.000009,0.0257,0.000088,,,1/22/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017mf,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=37450&objname=NGC%205541&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
AT2017lm,1/23/17,8/25/17,"ATLAS17aix, Gaia17akm",2MASX J03013238-1501028,01:32.4,-15:00:57.19,01:32.4,-15:01:02.8,,Host Nucleus,SALT,0.030636,0.000064,0.03052,0.000116,,,1/19/17,yes,yes,https://wis-tns.weizmann.ac.il/object/2017lm,http://www.astronomerstelegram.org/?read=9981,Not on official list,
ASASSN-17at,1/23/17,8/25/17,AT 2017ln,2MASX J11383367+2523532,38:33.7,+25:23:50.17,38:33.7,+25:23:53.2,,Host Nucleus,SDSS DR13,0.0253701,0.0000087,0.025356,0.0000141,,,1/20/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017ln,https://dr13.sdss.org/optical/spectrum/view?plateid=2505&mjd=53856&fiberid=435&run2d=26,Not on official list,
SN2017jl,1/20/17,9/24/18,ATLAS17air,2MASX J00573150+3011098,57:31.9,+30:11:06.83,57:31.5,11:09.3,,Uncertain,ALFALFA Survey,0.016331,0.000444,0.02,0.003669,,,1/22/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017jl,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3417190&objname=2MASX%20J00573150%2B3011098&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
iPTF17dz,1/16/17,8/25/17,,,24:25.7,+24:59:51.90,24:25.7,59:51.5,,SN Lines,GCN Circular,0.092,none,0.092,0,,,,no,no,,https://gcn.gsfc.nasa.gov/gcn3/20408.gcn3,,
ASASSN-17aj,1/14/17,8/25/17,2017hm,MCG -02-30-003,33:10.5,-10:13:18.40,33:10.6,-10:13:43.9,,Systemic,21cm lines,0.021275,0.000107,0.021275,0,,,1/17/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hm,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=26922&objname=MCG%20-02-30-003&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
SN2017hn,1/13/17,8/25/17,,UGC 8204,07:39.5,+6:20:14.6,07:39.4,+06:20:09,,Host Nucleus,SDSS DR13,0.0238503,0.0000076,0.0238,0.0000503,,,1/11/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hn,http://dr13.sdss.org/optical/spectrum/view?plateid=1795&mjd=54507&fiberid=260&run2d=26,Not on official list,
iPTF17fs,1/13/17,8/25/17,,,51:36.0,+69:50:02.30,,,,SN Lines,Foley,0.108,0.005,0.068,0.04,,,,no,no,,https://gcn.gsfc.nasa.gov/gcn3/20409.gcn3,,
2018ds,1/11/17,2/12/18,"ASASSN-18ag, PS18fu",MCG +7-30-65,48:53.6,+38:46:02.93,48:53.9,+38:46:05.72,,Host Nucleus,SDSS DR13,0.031662,0.00001,0.031,0.000662,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018ds,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=39083&objname=MCG%20%2B07-30-065&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018bq,1/11/17,2/12/18,"ASASSN-18ac, PS18eu, AT2017jzz",LCRS B110329.3-121524,05:59.6,-12:31:37.93,05:59.6,-12:31:37.36,,Systemic,6df Survey,0.025578,0.00015,0.0256,0.000022,,,1/9/17,yes,no,https://wis-tns.weizmann.ac.il/object/2018bq,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=313661&objname=LCRS%20B110329.3-121524&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ATLAS16eej,1/9/17,8/25/17,2016jem,Unknown,52:17.0,-22:45:19.86,52:17.0,-22:45:21.09,,Host Lines from SN position,SOAR spectra,0.049372,0.000125,0.049,0.000372,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2016jem,http://www.astronomerstelegram.org/?read=9930,,
2017jym,1/6/17,2/12/18,"ATLAS18aap, Gaia18aga, PS18fa",2MASX J05460230-2539071,46:02.5,-25:39:06.83,46:02.3,-25:39:07.20,,Systemic,ESO Nearby Abell Cluster Survey,0.040932,0.00014,0.041,0.000068,,,1/6/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017jym,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=1308503&objname=2MASX%20J05460230-2539071&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2017zd,1/2/17,8/25/17,ATLAS17auc,2MASX J13324217-2148034,32:42.1,-21:48:04.35,32:42.2,-21:48:03.76,,Systemic,6dF DR3,0.02947,0.00015,0.029,0.00047,,,2/5/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017zd,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=317808&objname=2MASX%20J13324217-2148034&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Not on official list,
SN2016ixf,12/22/16,8/25/17,Gaia16cdf,SDSS J103944.53+150204.7,39:44.6,+15:02:04.78,39:44.5,+15:02:04.7,,Host Lines from SN position,Keck spectra,0.06602,0.00011,0.068,0.00198,,,12/27/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016ixf,http://www.astronomerstelegram.org/?read=9889,,
ASASSN-16oz,12/22/16,1/15/18,2016iyv,GALEXASC J090013.19-133803.5,00:13.4,-13:38:02.23,00:13.2,-13:38:03.5,,SN Lines,SNID,0.031,0.002,0.031,0,,,12/21/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016iyv,http://www.astronomerstelegram.org/?read=9889,,
PS16fbb,11/18/16,8/25/17,"Gaia16bvg, 2016ick",SDSS J000702.87-204150.1,07:03.2,-20:41:48.61,07:02.9,-20:41:50.1,,Host Nucleus,SALT,0.0525,0.0001,0.0525,0,,,11/25/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016ick,http://www.astronomerstelegram.org/?read=9793,,
ATLAS16dtf,11/8/16,8/25/17,"Gaia16bte, 2016hvl",UGC 3524,44:02.2,+12:23:47.84,44:00.6,+12:24:07,,Systemic,21 cm line observations,0.013082,0.000005,0.013,0.000082,,,11/6/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016hvl,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=14018&objname=UGC%2003524&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
PS16evk,11/5/16,8/25/17,2016hqf,SDSS J223323.35-012126.9,33:22.7,-01:21:25.39,33:23.4,-01:21:26.9,,Host Nucleus,SDSS DR13,0.0544681,0.0000143,0.055,0.0005319,,,11/4/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016hqf,https://dr13.sdss.org/optical/spectrum/view?plateid=4380&mjd=55857&fiberid=952&run2d=v5_9_0,,
AT2016htn,11/5/16,9/24/18,"PS17bww, 2017ckd",2MASX J02112819-1630409,11:29.1,-16:30:37.17,11:28.2,-16:30:40.8,,Systemic,6Df DR3,0.053117,0.00015,0.053,0.000117,,,11/4/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016htn,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3609752&objname=2MASX%20J02112819-1630409&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2016htm,11/5/16,8/25/17,"ATLAS16dsh, Gaia16bvq, PS16fci",2MASX J02320134-2639576,32:02.6,-26:39:57.29,32:01.4,-26:39:57.4,,Systemic,6dF DR3,0.043313,0.00015,0.041,0.002313,,,11/4/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016htm,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=510159&objname=2MASX%20J02320134-2639576&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
SN2016hpx,11/4/16,8/25/17,"ATLAS16dqh, Gaia16bwt, PS17aji","Uncertain, possibly GALEXASC J060226.54-265949.2",03:16.7,-26:53:54.82,03:16.4,-26:53:54.73,,Host Lines from SN position,Public TNS spectra,0.033375,0.000465,0.033,0.000375,,,11/2/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016hpx,http://www.astronomerstelegram.org/?read=9704,,
ATLAS16dqf,11/4/16,8/25/17,2016hpw,Uncertain,09:07.9,-18:06:14.21,09:07.6,-18:06:14.71,,Host Nucleus,Keck spectra,0.02117,0.00018,0.02,0.00117,,,11/1/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016hpw,http://www.astronomerstelegram.org/?read=9704,,
SN2016hhv,11/4/16,8/25/17,ATLAS16drn,SDSS J233547.85+204226.6,35:48.5,+20:42:31.62,35:47.9,+20:42:26.6,,Uncertain,1996AJ....112.1816M,0.06194,0.00014,0.062,0.00006,,,11/3/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016hhv,http://ned.ipac.caltech.edu/cgi-bin/objsearch?search_type=Obj_id&objid=655694&objname=1&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1,,
CSS161013:015319+171853,11/3/16,8/25/17,"2016hot, PS16etp",SDSS J015319.55+171854.5,53:19.5,+17:18:53.42,53:19.6,+17:18:54.5,,SN Lines,SNID,0.079,0.003,0.074,0.005,,,10/27/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016hot,http://www.astronomerstelegram.org/?read=9695,,
ATLAS16dod,11/3/16,8/25/17,2016hli,MCG +8-7-8,43:38.5,+46:09:32.77,43:39.0,+46:09:20,,Uncertain,2MASS,0.016752,0.0001,0.017,0.000248,,,10/30/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016hli,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=9860&objname=MCG%20%2B08-07-008&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2016hns,11/1/16,8/25/17,ATLAS16dpv,KUG 2137+241,39:41.1,+24:24:24.12,39:41.3,+24:24:18,,Uncertain,2MASS Survey,0.03817,0.00006,0.037,0.00117,,,,no,no,https://wis-tns.weizmann.ac.il/object/2016hns,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=KUG+2137%2B241&QueryType=ned#lab_meas,,
PS16eqv,10/29/16,8/25/17,2016hjk,2MASX J02314347-2500088,31:43.4,-25:00:05.83,31:43.5,-25:00:08.8,,Host Nucleus,SALT,0.085271,0.00015,0.085,0.000271,,,10/27/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016hjk,http://www.astronomerstelegram.org/?read=9682,,
AT2016hnk,10/29/16,8/25/17,ATLAS16doc,KUG 0210-078,13:16.6,-07:39:40.80,13:15.8,-07:39:42.70,,Host Nucleus,SDSS DR13,0.0159419,0.0000066,0.016,0.0000581,,,10/30/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016hnk,https://dr13.sdss.org/optical/spectrum/view?plateid=667&mjd=52163&fiberid=561&run2d=26,,
ATLAS16dpb,10/29/16,8/25/17,2016hgw,CGCG 415-40,57:34.0,+05:58:41.30,57:33.7,+05:58:36.92,,Systemic,CFA redshift survey,0.023083,0.000033,0.023,0.000083,,,10/22/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016hgw,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=8298&objname=CGCG%20415-040&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ASASSN-16lg,10/10/16,8/25/17,AT 2016gye,ARK 530,48:12.4,+17:37:31.57,48:12.3,+17:37:30.8,,Systemic,Updated Zwicky Catalog,0.021171,0.000113,0.021171,0,,,10/9/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016gye,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=45319&objname=ARK%20530&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2016gsu,10/8/16,8/25/17,PTSS-16pur,SDSS J010824.54+210906.3,08:24.6,+21:09:05.75,08:24.5,+21:09:06.3,,Host Lines from SN Position,1.5m TILLINGHAST + FAST,0.0764187,0.000055,0.076,0.0004187,,,,yes,no,https://wis-tns.weizmann.ac.il/object/2016gsu,http://www.astronomerstelegram.org/?read=9607,,
SN2016grz,10/7/16,8/25/17,,SDSS J015533.01+334921.3,55:33.0,+33:49:22.70,55:33.0,+33:49:21.3,,Host Nucleus,KPNO,0.08748,0.0005,0.087,0.00048,,,10/1/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016grz,http://www.astronomerstelegram.org/?read=9583,,
MASTERJ0134,10/7/16,8/25/17,2016idy,GALEXASC J013415.00-174836.1,34:15.0,-17:48:43.4,34:14.9,-17:48:37.1,,Host Nucleus,SOAR spectra,0.0448457,0.00004,0.046,0.0011543,,,,no,yes,http://www.astronomerstelegram.org/?read=9597,http://www.astronomerstelegram.org/?read=9597,,
ASASSN-16la,10/2/16,8/25/17,2016gsn,2MASXi J0229172+180515,29:17.5,+18:05:16.35,29:17.2,+18:05:15,,Host Nucleus,SOAR spectra,0.0150541,0.0000389,0.018,0.0029459,,,10/8/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016gsn,http://www.astronomerstelegram.org/?read=9581,,
SN2016glz,9/30/16,8/25/17,"CSS160922:000554+082548, iPTF16glz, PS16eoc",GALEXASC J000556.57+082613.6,05:53.6,+08:25:48.58,05:56.6,+08:26:14,,Host Lines from SN Position,SOAR spectra,0.0409939,0.00007,0.02,0.0209939,,,9/24/16,yes,yes,http://star.pst.qub.ac.uk/sne/ps13pi/psdb/candidate/1000553591082548500/,,,
SN2016gmb,9/30/16,8/25/17,PTSS-16oqc,GALEXASC J003445.02-060936.8,34:44.7,-06:09:34.3,34:44.7,-06:09:36.8,,Host Nucleus,SOAR spectra,0.0582686,0.0000801,0.058,0.0002686,,,10/8/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016gmb,http://www.astronomerstelegram.org/?read=9542,,
SN2016glp,9/30/16,8/25/17,PS16ejp,GALEXASC J233613.95+234146.7,36:14.0,+23:41:45.3,36:13.9,+23:41:47,,Host Nucleus,SOAR spectra,0.08493,0.00012,0.087,0.00207,,,9/24/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016glp,http://www.astronomerstelegram.org/?read=9542,,
ATLAS16cxr,9/27/16,8/25/17,2016gou,Uncertain,08:06.5,+25:24:31.3,08:06.5,24:31.8,,Host Lines from SN position,FLOYDS,0.01552,0.001,0.016,0.00048,,,9/25/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016gou,,,
AT2016ghq,9/26/16,8/25/17,,PGC 61711,18:28.9,+36:19:07.80,18:29.1,+36:19:13.1,,Systemic,Updated Zwicky Catalog,0.021401,0.00022,0.021,0.000401,,,,no,no,https://wis-tns.weizmann.ac.il/object/2016ghq,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=46046&objname=UGC%2011199&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2016gmg,9/26/16,8/25/17,Gaia16bky,2MASX J21234100+3307075,23:41.8,+33:06:52.56,23:41.0,+33:07:07.5,,Uncertain,2MASS Survey,0.049437,0.000107,0.049,0.000437,,,9/29/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016gmg,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3396073&objname=2MASX%20J21234100%2B3307075&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2016gky,9/25/16,1/29/18,,UGC 11651,57:10.2,+25:57:52.09,57:15.4,+25:57:53.50,,Host Nucleus,21 cm Observations,0.005087,0.000005,None,#VALUE!,,,,no,yes,https://wis-tns.weizmann.ac.il/object/2016gky,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=49289&objname=UGC%2011651&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
PS16ejh,9/25/16,9/24/18,,ESO 472- G 013,59:26.2,-24:25:26.7,59:26.6,-24:25:30.40,,Systemic,6dF Galaxy Survey,0.050718,0.00015,0.051,0.000282,,,9/24/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016gkt,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=55111&objname=ESO%20472-%20G%20013&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
SN2016gfr,9/22/16,8/25/17,,2MASX J18193566+2347137,19:35.6,+23:47:09.20,19:35.7,+23:47:14,,Host Nucleus,Uncertain,0.016693,0.00012,0.014,0.002693,,,9/17/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016gfr,https://wis-tns.weizmann.ac.il/object/2016gfr,,
ATLAS16cpu,8/31/16,8/25/17,"2016ffh, Gaia16bcm",SDSS J151148.37+461513.8,11:49.5,+46:15:03.22,11:48.4,+46:15:13.8,,Host Nucleus,SDSS DR13,0.018195,0.0000077,0.018,0.000195,,,8/23/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016ffh,https://dr13.sdss.org/optical/spectrum/view?plateid=1050&mjd=52721&fiberid=468&run2d=26,,
Gaia16bba,8/30/16,8/25/17,SN 2016fbo,SDSS J010135.75+170604.9,01:35.5,+17:06:04.30,01:35.7,+17:06:04.9,"20 (u) 19 (g, r) 18 (i, z)",Host Nucleus,SOAR spectra,0.0304577,0.0000861,0.034,0.0035423,,,8/27/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016fbo,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237678601311682873,,
ASASSN-16jf,8/26/16,8/25/17,AT 2016fff,UGCA 430,36:59.1,-25:13:55.63,37:03.0,-25:14:11.11,,Uncertain,2004AJ....128...16K,0.011441,0.000013,0.011441,0,,,8/24/16,yes,no,http://www.astronomerstelegram.org/?read=9398,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=52126&objname=UGCA%20430&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2016fbk,8/17/16,8/25/17,,UGC 01212,44:06.6,+34:22:58.20,44:08.2,+34:23:14.32,,Systemic,21 cm line,0.035865,0.000012,0.035865,0,,,8/17/16,yes,no,https://wis-tns.weizmann.ac.il//object/2016fbk,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=4717&objname=UGC%2001212&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
AT2016ews,8/13/16,8/25/17,Gaia16bby,SDSS J150238.20+232101.5,02:36.5,+23:21:09.54,02:38.2,+23:21:01.5,,Host Nucleus,SDSS DR13,0.0455531,0.0000082,0.046,0.0004469,,,,no,no,https://wis-tns.weizmann.ac.il//object/2016ews,https://dr13.sdss.org/optical/spectrum/view?plateid=2152&mjd=53874&fiberid=245&run2d=26,,
PS16drf,8/12/16,8/25/17,SN 2016etf,2MASX J22040319-1013059,04:03.1,-10:13:05.6,04:03.2,-10:13:05.9,,Systemic,6dF Galaxy Survey DR3,0.05749,0.000103,0.057,0.00049,,,8/9/16,yes,no,http://star.pst.qub.ac.uk/sne/ps13pi/psdb/candidate/1220403130101305600/,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3657842&objname=2MASX%20J22040319-1013059&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ASASSN-16ip,8/12/16,8/25/17,,ESO 479-G007,27:21.7,-23:55:45.30,27:21.8,-23:55:43.72,,Systemic,The Southern Sky Redshift Survey,0.017008,0.0001,0.017,0.000008,8/18/16,,8/11/16,yes,no,http://www.astronomerstelegram.org/?read=9353,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=6856&objname=ESO%20479-%20G%20007&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
SN2016esh,8/9/16,8/25/17,,SDSS J160414.37+164124.5,04:14.5,+16:41:14.03,04:14.4,+16:41:24.5,,Host Nucleus,SDSS DR13,0.0445729,0.0000256,0.045,0.0004271,8/9/16,,8/7/16,yes,no,https://wis-tns.weizmann.ac.il/object/2016esh,https://dr13.sdss.org/optical/spectrum/view?plateid=2200&mjd=53875&fiberid=267&run2d=26,,
AT2016eoa,8/8/16,8/25/17,,SDSS J002122.40+222600.9,21:23.1,+22:26:08.30,21:22.4,+22:26:00.9,,Host Nucleus,KPNO spectra,0.0210874,0.0000667,0.021,0.0000874,8/16/16,,,yes,yes,https://wis-tns.weizmann.ac.il/object/2016eoa,None,,
ATLAS16bwu,8/8/16,8/25/17,SN 2016enx,GALEXASC J011422.73-130915.9,14:22.3,-13:09:11.12,14:22.7,-13:09:15.9,,Host Nucleus,SOAR spectra,0.0718027,0.0000575,0.078,0.0061973,8/8/16,,8/7/16,yes,yes,https://wis-tns.weizmann.ac.il//object/2016enx,None,,
ASASSN-16hz,8/7/16,8/25/17,,2MASX J23154564-0120135,15:45.5,-01:20:22.73,15:45.6,-01:20:13.5,,Systemic,6dF Galaxy Survey DR3,0.025308,0.00015,0.025308,0,8/5/16,,,yes,no,http://www.astronomerstelegram.org/?read=9332,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3691074&objname=2MASX%20J23154564-0120135&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
ASASSN-16hr,7/30/16,8/25/17,AT 2016eja,2MASX J22253147+3859010,25:31.8,+38:59:03.50,25:31.5,+38:59:01.0,,Host Nucleus,KPNO spectra,0.030858,0.0000081,0.03,0.000858,7/26/16,,7/28/16,yes,yes,http://www.astronomerstelegram.org/?read=9270,None,,
PS16dnp,7/30/16,8/25/17,AT 2016eky,SDSS J225939.63+020858.8,59:39.5,+02:08:59.1,59:39.6,+02:08:58.8,,Host Nucleus,KPNO spectra,0.0512731,0.0000308,0.056,0.0047269,7/30/16,,8/1/16,yes,yes,http://star.pst.qub.ac.uk/sne/ps13pi/psdb/candidate/1225939511020859100/,None,,
MASTEROTJ151647,7/23/16,8/25/17,,2MASX J15164763+2837061,16:47.2,+28:37:42.80,16:47.6,+28:37:06.1,,Host Nucleus,SDSS DR13,0.0564357,0.0000153,0.056,0.0004357,7/7/16,,,yes,no,https://www.flickr.com/photos/snimages/28162248596,https://dr13.sdss.org/optical/spectrum/view?plateid=1845&mjd=54144&fiberid=66&run2d=26,"Spectra obtained by SOAR, check",http://www.astronomerstelegram.org/?read=9243
ASASSN-16hc,7/12/16,8/25/17,SN 2016czc,2MASX J13590394+3308172,59:04.5,+33:08:20.30,59:03.9,+33:08:17.2,,Host Nucleus,SDSS DR13,0.0509344,0.0000107,0.050972,0.0000376,7/13/16,,8/4/16,yes,yes,http://www.astronomerstelegram.org/?read=9223,https://dr13.sdss.org/optical/spectrum/view?plateid=2121&mjd=54180&fiberid=326&run2d=26,,
AT2016cyt,7/6/16,8/25/17,,NGC 7033,09:35.8,+15:07:31.80,09:36.3,+15:07:29.60,,Systemic,Updated Zwicky Catalog,0.03074,0.00009,0.03,0.00074,7/11/16,yes,"2016-07-05, 2016-07-04",yes,yes,https://wis-tns.weizmann.ac.il/object/2016cyt,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=49656&objname=NGC%207033&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
PS16cvc,6/27/16,8/25/17,SN 2016cxb,GALEXASC J211223.05+144644.9,12:23.4,+14:46:45.4,12:23.1,+14:46:44.9,,Host Nucleus,SOAR spectra,0.02954,0.00009,0.029,0.00054,6/26/16,,6/23/16,yes,yes,http://star.pst.qub.ac.uk/sne/ps13pi/psdb/candidate/1211223351144645400/,None,"Spectra obtained by SOAR, SN only",
AT2016cvw,6/22/16,8/25/17,,MCG +02-58-008,46:12.8,+10:33:33.31,46:12.4,+10:33:25.70,,Uncertain,2MASS,0.038877,0.000093,0.038877,0,6/21/16,,7/28/16,yes,yes,https://wis-tns.weizmann.ac.il/object/2016cvw,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=52423&objname=MCG%20%2B02-58-008&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
